,",ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location"
75,"46316,4860,HP715194,12/03/2008 07:18:00 PM,097XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,511,5.0,6.0,49.0,01A,1179295.0,1840535.0,2008,08/17/2015 03:03:40 PM,41.717712231,-87.618913087,""(41.717712231, -87.618913087)"""
76,"46939,4861,HP715367,12/03/2008 09:10:00 PM,009XX N LAWLER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1531,15.0,37.0,25.0,01A,1142522.0,1905681.0,2008,08/17/2015 03:03:40 PM,41.897241667,-87.751985582,""(41.897241667, -87.751985582)"""
77,"47310,10428441,HZ164773,01/01/2009 12:00:00 AM,026XX N MC VICKER AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,True,False,2512,25.0,29.0,19.0,17,,,2009,05/11/2016 03:48:18 PM,,,"
78,"47424,4862,HP715464,12/03/2008 10:15:00 PM,060XX S SACRAMENTO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,823,8.0,16.0,66.0,01A,1157414.0,1864538.0,2008,08/17/2015 03:03:40 PM,41.784050587,-87.698406075,""(41.784050587, -87.698406075)"""
79,"48242,4863,HP715913,12/04/2008 09:40:00 AM,057XX S SACRAMENTO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,824,8.0,14.0,63.0,01A,1157362.0,1866331.0,2008,08/17/2015 03:03:40 PM,41.788971887,-87.698548194,""(41.788971887, -87.698548194)"""
80,"49037,4864,HP263720,12/06/2008 10:30:00 AM,036XX W SCHRAEDER DR,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,True,True,1122,11.0,28.0,27.0,01A,1152024.0,1900906.0,2008,08/17/2015 03:03:40 PM,41.883956597,-87.717211677,""(41.883956597, -87.717211677)"""
81,"49811,4865,HP721262,12/07/2008 03:00:00 PM,064XX S MINERVA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,314,3.0,20.0,42.0,01A,1185161.0,1862617.0,2008,08/17/2015 03:03:40 PM,41.778171912,-87.596736141,""(41.778171912, -87.596736141)"""
82,"50443,4866,HP722027,12/09/2008 10:02:00 AM,004XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,CHA HALLWAY,False,False,1823,18.0,27.0,8.0,01A,1173227.0,1905648.0,2008,08/17/2015 03:03:40 PM,41.89652481,-87.639211587,""(41.89652481, -87.639211587)"""
83,"50993,4867,HP724516,12/09/2008 02:22:00 PM,053XX W FULTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1523,15.0,28.0,25.0,01A,1140525.0,1901483.0,2008,08/17/2015 03:03:40 PM,41.88575874,-87.759423521,""(41.88575874, -87.759423521)"""
84,"51583,4868,HP729520,12/12/2008 06:57:00 AM,037XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,211,2.0,3.0,35.0,01A,1179205.0,1880294.0,2008,08/17/2015 03:03:40 PM,41.826817094,-87.618031571,""(41.826817094, -87.618031571)"""
85,"52232,4869,HP732694,12/13/2008 10:11:00 PM,102XX S BENSLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,431,4.0,10.0,51.0,01A,1194503.0,1837435.0,2008,08/17/2015 03:03:40 PM,41.70884573,-87.5633147,""(41.70884573, -87.5633147)"""
86,"52728,4870,HP733385,12/14/2008 11:50:00 AM,102XX S GREEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2232,22.0,34.0,73.0,01A,1172456.0,1836977.0,2008,08/17/2015 03:03:40 PM,41.708101557,-87.644065847,""(41.708101557, -87.644065847)"""
